,Emotion,Text
72,sadness,"It was a complex situation concerning a relationship with a boyfriend, I had broken the relationship for some reasons. Meanwhile, as I felt it, I had most sorrow."
73,joy,"My mother, sister and I were thinking about old times, our childhood, and we had a very happy time."
74,neutral,Hello ? 
75,neutral, Well ... 
76,joy,But Richard 's elation at regaining his health was short lived because his kidneys started to fail . 
77,fear,Nightmare about war. Freaked the fuck right out of me.  #loathing #ffs #sake #fuck #sake
78,anger,"Her father was cross with her , if not downright angry , and she felt like weeping inside . "
79,anger,Once again my parents distroyed a relationship.
80,joy,When I got the scholarship letter from Australia.
81,neutral," Sorry , I don ’ t quite follow you . "
82,fear,Last Summer in Italy I was attacked by a dog.It was terrible to feel that untidy dirty dog against my naked skin.
83,sadness, I am sorry . I am very tired . I'm going to bed early . 
84,fear,I had a dream in which I was an African elephant.
85,neutral, No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! 
86,anger,"I made an appointment with a friend to drink coffee togehter. However, for the third time in that week she arrived an hour too late."
87,fear,There is only one thing that makes a  impossible to achieve: the of failure.
88,joy,"` What is it ? "" asked the eight-year-old , delighted that he had somehow managed to amuse this mature woman of nineteen . "
89,anger,"Lineker became incensed when Taylor went public , not only questioning whether Lineker should remain as captain , but whether his form justified a place in the side -- even though he was maintaining his phenomenal strike rate . "
90,anger, You won ’ t believe who ’ s been elected to do overtime on the Baker account ! Me ! I ’ Ve already logged in 20 hours of overtime ! 
91,anger," Ur , you really let me down . "
92,anger,"He said nothing , and from the anger on his face she saw that he didn't think he owed her a reply . "
93,joy, See you later ! Drive carefully . 
94,joy,"When I heard that I had passed my MCE Exam, I spent the whole day dancing and eating sugarcanes from our garden."
95,sadness, Why did you tell me to get off ? 
96,joy," So , want me to book the tickets again ? "
97,fear,"Ian Fleming 's superhero first appeared in Issue 4 of ZZAP ! , much to the dismay of the reviewing team . "
98,fear,"Fights that I see in the middle of the street, robberies, fear of darkness when going home."
99,fear,Are you allowing to sabotage Your Empowering #Success ? Give it back! 2 Timothy 2:7 #queeninyou
100,joy,The time I learnt that I had passed my Malawi School leaving Certificate Examinations.
101,anger,"As he released his anger , he felt his love for his ex-wife , and wept over their divorce . "
102,joy,I felt joy when I passed the worst phase in my life and discovered how many people considered me important to them.
103,neutral, Thank you . 
104,anger, My hair looks hideous . 
105,neutral, Eight . 
106,fear,If she 's so anxious about my welfare and morals it 's a wonder she hasn't come stamping up here to check out the situation for herself . 
107,anger,Lucy sent him a resentful glance while adding an explanation for her presence . 
108,neutral, High ? 
109,joy, Really going to miss you . 
110,sadness, What a pity ! 
111,fear,Melanie was shocked to see the horror on her aunt 's face . 
112,sadness, No ... not really . The sad thing is that I wasn't there when she died . I really wanted to be there one last time . 
113,neutral, Why not ? 
114,fear,"Thus the dialogue and its frame emphasize the bond between the two of them , and thereby further underline the horror of the sacrifice of which they speak . "
115,joy," Mary , don't move . Stand right there . It's a good shot . The background is very pretty . "
116,neutral, You got it . 
117,neutral, so what ? 
118,anger,That was what I felt with a teacher who put down quite unreal marks.
119,anger,When someone took my writing materials yet I was to write Examinations in a few minutes.
120,joy,She was shortish and had an attractive way of cocking her head on one side and looking up with big dark eyes and a wryly amused smile . 
121,fear,"@OMcGee82 I felt fine this morning, blatantly due to still being pissed, then my condition rapidly deteriorated.  "
122,fear, I am happy that you like the house . We should write down what we like so that we can remember it . 
123,sadness,Almost every month it seems as though some sad parent on the local news is bemoaning the loss of their teenager who died in this way . 
124,sadness, It's really there ? This all seems so surreal-like it's all one big nightmare . 
125,joy," Hello sir . Good to meet you , too . "
126,joy, Thank you . 
127,sadness,"I was going away, leaving a dear person behind."
128,neutral, Ok . 
129,fear,"Recently my younger brother disappeared for two days without leaving a trace. Usually he tells me when he wants to do something like that, therefore I was afraid that something had happened to him."
130,anger,"Getting a terrible exam mark, which I couldn't understand the reason for, and trying to see a lecturer or tutor, but being given the runaround."
131,anger," Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen . "
132,anger,Meeting generally dominating persons in social occasions.
133,anger,"I wanted to clear up a misunderstanding with a friend that I had caused. A third person meddled in our conversation, turned my efforts to ridicule so that I did not succeed in what I had intended."
134,anger,"I went singing with a group of young people on January 6th (The three Magi), a local custom called \star singing\"". One of the girls, my girlfriend, broke the star. Being the accompanying person, I felt very angry thinking of the consequences."""
135,sadness," Sorry , sir , we are having a sale now . "
136,joy,"Look , Forest Gump is on at six thirty . "
137,fear,I am a kindergarten teacher and I am thoroughly weary of my job.  After having taken the university entrance exam I suffered from anxiety for weeks as I did not want to carry on with my work - studies were the only alternative. 
138,joy,Finished a difficult midterm.
139,joy, OK . Bye ! 
140,fear,"I was in the dark room, it's insecure and has holes covered with wooden sheets in the roof the establishment had already been assaulted and could be assaulted again."
141,fear,He felt a bit worried at this and started to question her . 
142,anger,Do you know how late it is ? 
143,sadness, I ’ m not in the mood . 
144,sadness,My boyfriend is a soldier. He was on a leave. I felt sad when we had to get separated again.
145,joy,"` But my chairman and vice-chairman have given me another year 's contract , and I 'm absolutely delighted to be staying at Nottingham Forest . "
146,sadness, That's too bad.What kind of accident is it ? Are you all right ? 
147,sadness,When my mum's brother passed away after having been involved in a car accident.   He was bringing me a present as I had passed my form five exams with flying colours.
148,sadness,When my grandmother died. I had lived with her for ten years.
149,anger,After having quarelled with a relative of mine about politics.
150,neutral, Why not ? 
151,anger,I get angry when people disbelieve me or misunderstand me.
152,anger," No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home ! "
153,sadness,"That's unfair , Mom . "
154,sadness,When I was eight years old my father was run over by a car. When I saw his body I was sad beyond words.
155,fear,When I have to go in for an exam and the examinor is a person with a whimsical character and unsteady requirements.
156,joy,When I heard that I had achieved a place in form I.
157,neutral, I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ... 
158,fear,Listening to horrot stories at night.
159,anger,"My father had bought too many goods for his shop, there was not enough space to store them."
160,anger,Once my father slapped my mother for a small quarrel.
161,anger, How could I feel easy ? I ’ m really pissed . 
162,fear,Accountants inevitably greeted the court 's finding with some disquiet . 
163,sadness,Lost a friend.
164,neutral, I ’ m so jealous . 
165,anger," You 're not  vexed , are you ?  he asked incredulously . "
166,joy,"I had a very close friend who went to Canada after her F.B, his  departure was unavoidable.  When he came back during the Summer holidays I was very happy as nothing had changed between us."
167,neutral," Oh , yes . I like playing basketball . "
168,sadness,I had this feeling when my parents distroyed a relationship with a boy because they thought he was bad and irresponsible.
169,joy,Her head turned restlessly on the pillow as she strove to distance herself from the increasingly excited voice of the commentator and the air-splitting whine of the high-revving engines . 
170,neutral, Yes . 
171,joy,"But he was confronted by an ecstatic welcome from his mother , who was waiting for him on the doorstep . "
172,fear,The last time I was face to face with with the monstrous dog which lives in my street.
173,sadness,He was so miserable . 
174,fear,I was attacked by a man at a bus stop at night.
175,anger,I arrived in Vienna in the middle of the night. I asked for some silly information - as I realized myself afterwards - and the inquiry  clerk reacted in a very arrogant manner.
176,joy, Bye . 
177,anger,I came out of the house at 7:20 am Monday morning getting ready t go to school and fight for a parking when I saw my car had a flat tire.
178,joy,When I got my results ( I had made it to the second year ).
179,fear,"When I was a child, I had a nightmare. At that time, I was not yet able to tell anybody about it, so I was very frightened. I could not explain myself all that and I had to deal with it by myself."
180,fear,On the edge of slipping and winning... 
181,anger,"Livid with rage , he grabs their cameras and rips the film from them , tearing it to shreds and throwing it in the fire . "
182,joy,"After completing high-school, I wanted to go abroad for a holiday.  I had never been abroad before and neither had I taken a holiday for a long time.  When finally my parents agreed and we got the airplane tickets I was over joyed."
183,sadness, I messed up . 
184,neutral,Are you OK ? 
185,fear,"I went to the ballet lessons with a little friend in the dark. On a very quiet place a boy approached us from behind and asked at what time the lesson would be finished. I gave him an avoiding answer, he took me up and wanted to run away with me."
186,joy,When my husband and I decided to take a few days holiday after a particularly trying period.
187,sadness, How am I going to face the fellows in our office ? They thought I would be promoted . They must be waiting for my good news . 
188,sadness, They said that they did . I've been so busy ... 
189,anger,I reachad home to find that my baby had not been bathed and fed.
190,sadness,"An uncle of mine who just retired, having worked hard all his life, got a cerebral hemorrhage."
191,anger,"My mother was ill and asked me to prpare our lunch. I went to do it, and while I was working, she stayed behind me telling what I had, or not to do. I asked her to stop meddling, and to go to bed. When I went to ask for help to my sister, my mother said that I was proud, that I asked for help only when I wanted and that I wasn't able to cook by myself."
192,joy," Yes , it is . The sun is shining . There is no wind , only a pleasant breeze . "
193,fear,As a child (i.e. 5-7) hiking in reasonably rugged bush and becoming lost for a duration of 5-7 hours.
194,sadness, I had a terrible quarrel with my neighbor yesterday . 
195,anger,To his own surprise all his anger against Edouard had evaporated . 
196,joy,"When I was a student at the Institute doing my M.Phil degree, one of my professors called me before the convocation and told me \You have got the gold-medal (first rank) in the university and tomorrow you will be on T.V\""."""
197,anger,I felt very angry after one driver had run over my beloved niece.
198,neutral, Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad . 
199,fear,I'm so scared! Is this really how life forces certain circumstances on people? It's so hard. #confused #faith
200,joy, Don't tell me you have a record player ! 
201,joy,"Breakfast was quite a social affair as we were frequently visited by new found friends in the shape of two fat and very vocal geese , a young swan and a bevy of excited ducks . "
202,fear,"If these  movements mean nothing, why do police raid them in the middle of the night and try to censor press in the process? "
203,sadness,"` I 'm sad that it folded , but it 's come at a good time , "" she tells me . "
204,neutral,"How do you do , Prof.Smith . "
205,fear,The day I encountered a queer mamba face to face in a chunk of leaves behind our house.
206,sadness,Market Report : Interest rate fears spread despondency 
207,fear,The price was recognised as much too low and many insurers became worried at the apparent undervaluation of their organisations . 
208,joy,"That evening she felt no nervousness at all , just excitement , controlled excitement . "
209,anger,"At the hardware store, trying to convert Imperial to Metric measurements, I made a mistake, and didn't buy enough tiles for the bathroom. I was angry at myself, because I hope to be a Maths teacher."
210,anger," There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . "
211,anger,I had studied for almost one week for my physics-examination. With difficulty I passed the exam. I was angry about the teacher and also about myself because I had not remembered enough during the examn and because the time that I spent studying was wasted.
212,joy,Found out my wife (girl-friend?) pregnant.
213,joy, See you . 
214,sadness,My poor mother was grief-stricken and all alone . 
215,sadness,At my grandfather's funeral - My grandparents virtually raised me as my mother was a solo-parent and had to work.
216,anger,When my sister came home late one day and thus disobeyed my parents.
217,neutral, Good . 
218,sadness,When my grandmother died very suddenly without warning.
219,joy, I'm honored to know you . 
220,anger, You should've been done already . 
221,neutral, Thanks . 
222,anger,"And then , unable to be cross with him for long , you shift your feelings over to the critic . "
223,fear,"A son should be concerned for his father 's health . "" "
224,neutral,"Frank ’ s getting married , do you believe this ? "
225,joy,When I am with friends and I do what pleases me this often happenes.
226,neutral,Excuse me.Where do I register ? 
227,joy,"In fact they encouraged us most warmly , and we shared the general mood of elation at the overall success of the 1974 submission . "
228,joy,George Grindal was pleased that he could turn to the bedside cabinet and take up the feeding glass containing orange juice . 
229,neutral," You have 16 balls on the table , 7 solid colored , 7 striped colored , a black 8 ball , and the white ball . "
230,neutral, No . 
231,anger, What's wrong with heading out with Mark for vacation ? 
232,sadness,When the relationship with my girlfriend broke up.
233,joy,How time flies ! 
234,joy,"With a grimace , Donal murmured gloomily , ` He wasn't exactly ecstatic at my explanation . "" "
235,joy, Good idea . Thanks a billion . 
236,neutral," nothing else has happened to me , but I have seen quite a few fights on the streets after the bars close . "
237,joy,Good luck on your test tomorrow . We'll be crossing our fingers for you ! 
238,anger,When I learned that several people had died in the street due to  the cold weather.
239,sadness,"Wycombe were beaten by Bob Taylor 's 82nd-minute winner , and their disconsolate boss Martin O'Neill said : ` I was actually looking forward to extra-time because I was so sure we would win . "
240,sadness,"SHE was once considered one of the world 's most beautiful women , but yesterday every line etched on Britt Ekland 's face told a story of personal anguish . "
241,neutral, How so ? 
242,anger,My boy-friend came home late one night without having told me about it before.
243,anger,Richard Nixon repeatedly expressed his exasperation at having to work with an unresponsive bureaucracy . 
244,anger,"Having already paid for my return ticket I was cross at having to buy another one , and even more upset at having to pay extra for the one-way ticket and convert sterling at an unfavourable rate . "
245,fear,The Spirit of causes disease.
246,fear,Franco became very alarmed at this and told him to put his money away immediately . 
247,fear,"In the traffic with a car, I nearly got crushed between a bus and a tram.  The attention of other drivers saved me at the last moment."
248,sadness," I'm sorry , I haven't decided yet . Do you mind giving me a couple of minutes ? "
249,anger, I'll beat him . 
250,neutral, She's 42 . 
251,joy," OK , Mum . I'll invite my friends home . "
252,neutral, I'm not . 
253,joy,When I passed the B.A exams with first class results.
254,anger,Despite our good performance and excellent results the management refused to meet our demands.
255,fear,This feeling I sensed quite recently. It was arisen by the terrific thought that I might lose the man I loved !
256,anger,"A certain boy came into my room and started telling me that I was not pretty, that I had no manners and that I should learn some.  I had just come to campus and he was in fourth year."
257,neutral," Well , I heard David has been fired . "
258,neutral, So Baltimore is winning ? 
259,fear,"The girl was glued to the spot , terror-struck , pop-eyed , quivering , knowing for certain that the Day of Judgment had come for her at last . "
260,joy,Discussing psychology with my friends before the lecture.
261,anger,Excuse me ! I don't have time to waste . I've been here almost one full hour ! 
262,fear,There is only one thing that makes a dream impossible to achieve: the of #failure. Basically I'm saying focus on getting ur mind right
263,anger,"` Good heavens , no , lady "" came the indignant reply . "
264,joy,Every year during carnival I am very joyful I have an intense feeling of happiness then.
265,fear,"Can't go to bed .. I keep looking at the window hoping that my car won't be robbed& , #vacation"
266,fear, Frightened ? You must be joking . 
267,joy," I would love to be surrounded by hills and streams . They ’ re so much better to look at than concrete , rows of parked cars and tall buildings . "
268,fear,"In 1960,  I was going to a school which was near my village and I met a lion on the way, which disappeared suddenly."
269,joy, At least more than 100 years old . 
270,fear, I 'm frightened for him . 
271,neutral, A-what ? 
272,fear,"When I went home and there was nobody, I waited till 2 A.M and      still nobody.  I was suddenly scared and anxious as this had never happened before.  In addition my mother was very weak and I feared that she had met with an accident.  Therefore I was anxious  all night."
273,fear,"As a child, one evening I had read a novel about ghosts and I had thus spent a sleepless night as I kept feeling that there were ghosts dancing around me."
274,joy,When we were able to afford a new sofa - a leather one which cost SEK 20000.  I had waited for it for 2-3 years.
275,anger,"They played throughout the second half in peeved mood , allowing Blackburn to assume the dictating role with Gordon Cowans prompting from midfield and Speedie in predatory form up front . "
276,joy, Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
277,anger, Thanks ! We love it . 
278,sadness,"In 1983, my results at the university entrance exam were very poor - far from what I had expected.   I thought that I would not be accepted at the university."
279,fear,"While preparing my master's thesis, I was scared that I would not accomplish anything as the subject was rather difficult."
280,neutral, How come ? 
281,fear,"Giving the mouse hand puppet a gravelly, Michael Gambon-esque voice at Thanksgiving got mixed responses from young cousins. #Laughter"
282,anger,Brother provoked anger. It was when mother and father were away and we had to look after ourselves. He accused me of being selfish and a snob.
283,neutral, Why ? 
284,sadness,My teacher's death.
285,anger," Well , if I'm not living here anymore , then I won't have to listen to your rules . "
286,sadness,I saw a lot of starving people in a T.V news report.
287,fear,I had fear when I was left alone at the bus depot at night. I had problems of how to move to this place.
288,anger,I got angry with a stranger in a train who behaved impertinently and immorally
289,fear,"When, as a child, I was nearly knocked down by a car."
290,anger,"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times)."
291,anger, But how guilty to waste food ! 
292,fear,"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its teeth ! "
293,sadness,"When my best friend died, at the age of 16."
294,neutral, Certainly . 
295,fear,"Will Reseda riot after @NickJacksonYB and I win, tomorrow?  "
296,anger,"When I saw a car run over a child, out of carelessness."
297,fear,in any form diminishes my ability to think clearly and trust myself. Why in the world is it used as a tool so often?
298,anger, Shut up ! 
299,anger,When my father's new fiancee treats me like a child.  She does not trust me and constantly misunderstands me.  I get particularly angry when she says nasty things about my boyfriend with whom she works.
300,joy,The crowd was wild with excitement . 
301,neutral, Too bad . 
302,neutral,"Hi , Bob . "
303,anger, Apparently I was furious I had not been consulted 
304,joy," Wow , a remote car model and my favorite brand . I really like it . That is so nice of you . "
305,neutral, She will be 86 next month . 
306,sadness,"When I had to move away from home to study, and I knew that I would not be coming back home for a long time."
307,fear,"She jumped up , frowning in dismay . "
308,anger,"I was accused of a misdemeanour, unjustly."
309,fear,There was one other horrified observer of the scene . 
310,anger,"I felt anger when I had a fight with my father, and he beated me. My mother came to help me (because I was beeing beated) and he also beated my mother."
311,joy," Oh , Penny , I'm Leonard , glad to meet you . "
312,anger,Quarreling with classmates.
313,sadness," Too bad . But , is there any other leather store nearby ? "
314,fear,"first, the (batman begins)....then, the #limits (dark knight).....im thinking like,  fucking....#redemption (dark knight rises)"
315,anger,` You 're cross because I was honest when I spoke to you that night . 
316,neutral, Today . 
317,fear,"I was hitchhiking and was picked up by a stranger he drove into the woods and wanted to make love with me, I refused and escaped from the car. When walking in the wood and hearing the car I was afraid."
318,fear,My own dismay at the way those kids were savaging the flora of Stonethwaite is a good example . 
319,anger,With a small sigh of exasperation she thrust her feet to the floor . 
320,fear,"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going."
321,neutral, What is the difference ? 
322,sadness,When I was transferred from Chichiri Secondary School to St. Mary's Sec. School. I was happy at Chichiri as a day scholer and had made a lot of friends. I was going to a boarding and that meant parting with my friends as well as my boyfriend for the first time.
323,neutral, I see . 
324,anger,Unjust punishment of a friend of mine.
325,joy,A person whom I had not seen for a long time called me and invited me for a party.
326,sadness,Yussuf had been quite inconsolable . 
327,fear,When I dreamed that I was being attacked by a friend.
328,fear,Niggas Tryna Live Off Im Tryna Live Off #Respect Cuz Without It Don't Nobody Give A Fuck About You R/S
329,sadness, But the lessons this semester are a little bit hard . 
330,neutral, like what ? 
331,neutral, I don't like the way they sag down . I feel like I have plumber butt in them . 
332,joy, Congratulations ! Susan . I ’ m so happy for you . 
333,neutral, Smith . 
334,sadness, My condolences . 
335,joy, Certainly.It matches your suit perfectly . 
336,anger,He dipped the cotton wool in the water and dabbed at the livid puffy eyes . 
337,joy,"A sunny Autumn day, after a long rainy period."
338,anger," Really , Mary , you ’ re horrible . "
339,joy,I felt joy when I heard that I was accepted for the Free University in Driebergen.
340,sadness,Leaving high school.
341,fear,"If I mention our separate sleeping arrangements to friends , they are horrified . "
342,sadness,A friend of mine could not make it back to university after having failed the exams.
343,neutral," No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . "
344,sadness,The greatest cause of the Prince 's despondency had been the feeling that he served no useful purpose . 
345,fear,"Perhaps it was something in the dowager-duchess 's voice that caused it , but Joan to her own dismay burst into tears . "
346,anger,Had an argument with my classmate for borrowed books.
347,joy," Great , is it a two bedroom house ? "
348,sadness,Hearing of the death of a friend who had been skiing.
349,neutral, Yes . 
350,joy,"Passing an examination, although I felt sure I had failed."
351,anger,When fired unjustly from a job as casual bar-person. Charged with giving away free drinks. Not done so and had witnesses to prove it - both patrons and bar staff. Other staff were supportive.
352,neutral, Totally not . Perhaps it's about our marriage . 
353,anger,"I had made an appointment with three friends. We had to go out together. When I arrived at the place, the other persons weren't there. I became very angry because I thought they were gone without me. That, however, didn't appear to be the case."
354,fear, Why can't I call the police now ? He was definitely following me ! 
355,neutral,What do you plan to do for your birthday ? 
356,neutral, Lucky her . 
357,joy,After my girlfriend had taken her exam we went to her parent's place.
358,anger," But what about parking ? You can't park on the street , can you ? "
359,anger, I ’ d like to know why you ’ re always taking credit for work we ’ Ve done together like that line in the new Ice Cream ad ? 
360,joy, That will be great ! Do you have LPs or Cds ? 
361,neutral," Yeah , that's it . "
362,anger,"I came across a girl at the school bus-stop, I had seen her several friends as she was a friend's friend.  However my friend had never introduced me to her and when she got off the bus I smiled at her but she did not respond pretending not to have seen me.  Her arrogant behaviour made me sick and angry."
363,anger," well , my boyfriend was supposed to call me last night , but he never did . "
364,sadness," Believe it or not , the company I worked for closed down , so I ’ m out of a job . "
365,anger,My mother and my sister carried on picking at me all day long for no reason at all and I ended up getting angry.
366,sadness, Much better . My heart sank when Mary told me that she wanted to leave me . 
367,fear,We were in the country and I walked away from the others one night.  Suddenly something moved sharply in front of me and I was not able to see what it was.
368,joy,"When I found out that the girl, with whom I was in love, loved me too."
369,sadness,When my uncle died whom I had loved very much. I was very sad and I felt totally helpless.
370,fear,But there is no doubt that some of these ideas are causing great disquiet among Branch Management and Staff . 
371,anger,"When I received the mark well above requirements for the course I wanted to enter, yet I was not accepted - anger at the injustice of it, because I didn't receive early release of H.S.C. marks."
372,joy, OK . Do you want us to bring something ? 
373,fear,A cold draught of air was coming from the kitchen and I found the back door to be wide open -- and then my horrified glance fell upon Aunt Louise . 
374,joy,When I passed my MSCE Exams and was selected to go to college.
375,fear,I was river rafting in Nev. and our boat tipped over and I was sucked under in to some rocks and got stuck and all I could think was that I was going to die. And it was so quiet under the water it seemed like no one would care or remember.
376,sadness,When I could not do anything because of a bad back.
377,fear,"Thinking of the unknown, what happens at the moment of death, etc."
378,fear, driving and sneezing on the highway
379,neutral," Yes , so I want to learn French to develop my career . "
380,fear,"I was walking down a little village at night.  There was nobody in the steet.  A dog began to bark, I felt that it was following me.  Then I began to run, the other dogs started barking too.  At last I arrived home."
381,fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. 
382,sadness," Well , my mum lost her job yesterday . "
383,fear,Some folks r really mean 2 me. That doesn't scare me. What scares me is how ridiculous it became 2 suggest 2 pay for music  
384,neutral, Banker ? 
385,fear,Walking in the dark by myself.
386,anger,"Indonesian officials were somewhat miffed Friday when the mayor of Hanover , he took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia ."
387,neutral, Not at all . 
388,joy,When I go out with my friend with enough money and good sense to our favorite dancing.
389,sadness,My father died last year after an 8-week severe illness.
390,neutral, Why ? 
391,sadness,"It was mid May 1985, When we had a Test on Nursing. My classmate had an answer sheet, so he tried to peep. The Nursing Tutor caught him. During this time I was turning my question paper and it made noise. This friend blamed me of causing the whole matter for him to be caught."
392,anger,By now the priest was becoming exasperated with the child who in turn was becoming ever more stubborn by the minute . 
393,neutral, How come ? 
394,sadness,"When the guy I was in love with told me that he had met someone else and that we would not meet again for a year.  Although we did not have a steady relatioship, we were having an affair."
395,fear,"When somebody broke into our home one night when my mother was out, and my sister and I had just gone to bed."
396,joy,"To have a friend who I didn't see for months, and under the circumstances that I met him made me feel happy, and perhaps because it has been one of the good things that I learned with this friend."
